6 Actor6 <= Actor0 [label="Set(Master"];
126 Actor6 <= Actor42 [label="RemoveMe(G"];
135 Actor6 <= Actor63 [label="RemoveMe(G"];
136 Actor6 <= Actor94 [label="RemoveMe(G"];
166 Actor6 <= Actor24 [label="RemoveMe(G"];
167 Actor6 <= Actor90 [label="RemoveMe(G"];
170 Actor6 <= Actor58 [label="RemoveMe(G"];
183 Actor6 <= Actor88 [label="RemoveMe(G"];
323 Actor6 <= Actor56 [label="Rumor"];
324 Actor6 => Actor53 [label="Rumor"];
325 Actor6 => Actor6 [label="Remind"];
326 Actor6 <= Actor70 [label="RemoveMe(G"];
327 Actor6 <= Actor5 [label="RemoveMe(G"];
328 Actor6 <= Actor12 [label="RemoveMe(G"];
329 Actor6 <= Actor16 [label="RemoveMe(G"];
357 Actor6 <= Actor37 [label="RemoveMe(G"];
358 Actor6 <= Actor10 [label="RemoveMe(G"];
359 Actor6 <= Actor84 [label="RemoveMe(G"];
360 Actor6 <= Actor6 [label="Remind"];
361 Actor6 => Actor55 [label="Rumor"];
362 Actor6 => Actor6 [label="Remind"];
363 Actor6 <= Actor59 [label="RemoveMe(G"];
364 Actor6 <= Actor6 [label="Remind"];
365 Actor6 => Actor60 [label="Rumor"];
366 Actor6 => Actor6 [label="Remind"];
367 Actor6 <= Actor6 [label="Remind"];
368 Actor6 => Actor72 [label="Rumor"];
369 Actor6 => Actor6 [label="Remind"];
370 Actor6 <= Actor99 [label="RemoveMe(G"];
371 Actor6 <= Actor6 [label="Remind"];
372 Actor6 => Actor47 [label="Rumor"];
373 Actor6 => Actor6 [label="Remind"];
374 Actor6 <= Actor6 [label="Remind"];
375 Actor6 => Actor7 [label="Rumor"];
376 Actor6 => Actor6 [label="Remind"];
377 Actor6 <= Actor6 [label="Remind"];
378 Actor6 => Actor23 [label="Rumor"];
379 Actor6 => Actor6 [label="Remind"];
380 Actor6 <= Actor6 [label="Remind"];
381 Actor6 => Actor25 [label="Rumor"];
382 Actor6 => Actor6 [label="Remind"];
383 Actor6 <= Actor6 [label="Remind"];
384 Actor6 => Actor87 [label="Rumor"];
385 Actor6 => Actor6 [label="Remind"];
386 Actor6 <= Actor6 [label="Remind"];
387 Actor6 => Actor39 [label="Rumor"];
388 Actor6 => Actor6 [label="Remind"];
389 Actor6 <= Actor6 [label="Remind"];
390 Actor6 => Actor52 [label="Rumor"];
391 Actor6 => Actor6 [label="Remind"];
392 Actor6 <= Actor6 [label="Remind"];
393 Actor6 => Actor13 [label="Rumor"];
394 Actor6 => Actor6 [label="Remind"];
395 Actor6 <= Actor6 [label="Remind"];
396 Actor6 => Actor78 [label="Rumor"];
397 Actor6 => Actor6 [label="Remind"];
398 Actor6 <= Actor6 [label="Remind"];
399 Actor6 => Actor54 [label="Rumor"];
400 Actor6 => Actor6 [label="Remind"];
401 Actor6 <= Actor6 [label="Remind"];
402 Actor6 => Actor46 [label="Rumor"];
403 Actor6 => Actor6 [label="Remind"];
